GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java Decision Tables,ru.ewc.decita.manual,ManualComputation,27,118,3,1,6,25,4,11,2,11
Java Decision Tables,ru.ewc.decita.manual,Shell,287,0,24,0,67,0,25,0,12,0
Java Decision Tables,ru.ewc.decita,DecisionTable,0,70,0,4,0,16,0,7,0,5
Java Decision Tables,ru.ewc.decita,Rule,83,83,22,8,1,16,14,12,2,9
Java Decision Tables,ru.ewc.decita,ConstantLocator,0,5,0,0,0,2,0,2,0,2
Java Decision Tables,ru.ewc.decita,DecitaException,0,4,0,0,0,2,0,1,0,1
Java Decision Tables,ru.ewc.decita,ComputationContext,7,14,0,0,1,4,1,2,1,2
Java Decision Tables,ru.ewc.decita,Coordinate,44,105,13,13,0,19,10,11,1,7
Java Decision Tables,ru.ewc.decita,Locator,4,0,0,0,1,0,1,0,1,0
Java Decision Tables,ru.ewc.decita,Locators,16,47,1,1,3,11,2,4,1,4
Java Decision Tables,ru.ewc.decita,InMemoryStorage,0,13,0,0,0,4,0,2,0,2
Java Decision Tables,ru.ewc.decita,DecitaFacade,12,44,1,1,1,13,1,4,0,4
Java Decision Tables,ru.ewc.decita.conditions,GreaterThanCondition,0,9,0,0,0,3,0,2,0,2
Java Decision Tables,ru.ewc.decita.conditions,NotCondition,0,28,0,4,0,7,0,6,0,4
Java Decision Tables,ru.ewc.decita.conditions,AlwaysTrueCondition,0,5,0,0,0,2,0,1,0,1
Java Decision Tables,ru.ewc.decita.conditions,UnaryCondition,0,9,0,0,0,4,0,2,0,2
Java Decision Tables,ru.ewc.decita.conditions,Condition,0,10,0,4,0,1,0,3,0,1
Java Decision Tables,ru.ewc.decita.conditions,LessThanCondition,0,9,0,0,0,3,0,2,0,2
Java Decision Tables,ru.ewc.decita.conditions,BinaryCondition,92,50,23,7,1,10,15,8,3,5
Java Decision Tables,ru.ewc.decita.conditions,EqualsCondition,0,9,0,0,0,3,0,2,0,2
Java Decision Tables,ru.ewc.decita.input,RawContent,0,249,0,20,0,38,0,15,0,5
Java Decision Tables,ru.ewc.decita.input,PlainTextContentReader,6,155,0,2,4,35,0,13,0,12
